food,text
parmesan cheese grated,"Parmesan cheese grated provides 21 kcal per 100 grams. It contains 1.4 g of total fat (0.8 g saturated, 0.4 g monounsaturated, and 0.036 g polyunsaturated), 0.7 g of carbohydrates with 0.075 g of sugars, 1.4 g of protein, and 0.0 g of dietary fiber. It has 4.3 mg of cholesterol, 0.043 g of sodium, and 1.1 g of water. Vitamin content per 100g: A = 0.017 mg, B1 (Thiamine) = 0.003 mg, B2 (Riboflavin) = 0.081 mg, B3 (Niacin) = 0.077 mg, B5 (Pantothenic Acid) = 0.057 mg, B6 = 0.077 mg, B11 (Folic Acid) = 0.015 mg, B12 = 0.091 mg, Vitamin C = 0.007 mg, Vitamin D = 0.0 mg, Vitamin E = 0.002 mg, Vitamin K = 0.014 mg. Mineral content per 100g: Calcium = 0.012 mg, Copper = 42.7 mg, Iron = 0.094 mg, Magnesium = 0.094 mg, Manganese = 1.7 mg, Phosphorus = 0.026 mg, Potassium = 31.4 mg, Selenium = 9.0 mg, and Zinc = 0.038 mg. The overall nutrition density score is 3.745. "
port salut cheese,"Port salut cheese provides 465 kcal per 100 grams. It contains 37.2 g of total fat (22.0 g saturated, 12.3 g monounsaturated, and 1.0 g polyunsaturated), 0.8 g of carbohydrates with 0.8 g of sugars, 31.4 g of protein, and 0.0 g of dietary fiber. It has 162.4 mg of cholesterol, 0.7 g of sodium, and 60.0 g of water. Vitamin content per 100g: A = 0.4 mg, B1 (Thiamine) = 0.012 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 0.019 mg, B5 (Pantothenic Acid) = 0.3 mg, B6 = 0.08 mg, B11 (Folic Acid) = 0.035 mg, B12 = 0.067 mg, Vitamin C = 0.0 mg, Vitamin D = 0.057 mg, Vitamin E = 0.3 mg, Vitamin K = 0.094 mg. Mineral content per 100g: Calcium = 858.0 mg, Copper = 0.062 mg, Iron = 0.6 mg, Magnesium = 31.7 mg, Manganese = 0.095 mg, Phosphorus = 475.2 mg, Potassium = 179.5 mg, Selenium = 0.015 mg, and Zinc = 3.4 mg. The overall nutrition density score is 928.4. "
swiss cheese,"Swiss cheese provides 98 kcal per 100 grams. It contains 7.7 g of total fat (4.6 g saturated, 2.0 g monounsaturated, and 0.3 g polyunsaturated), 0.4 g of carbohydrates with 0.0 g of sugars, 6.7 g of protein, and 0.0 g of dietary fiber. It has 23.3 mg of cholesterol, 0.057 g of sodium, and 9.4 g of water. Vitamin content per 100g: A = 0.069 mg, B1 (Thiamine) = 0.008 mg, B2 (Riboflavin) = 0.018 mg, B3 (Niacin) = 0.058 mg, B5 (Pantothenic Acid) = 0.1 mg, B6 = 0.036 mg, B11 (Folic Acid) = 0.027 mg, B12 = 0.008 mg, Vitamin C = 0.0 mg, Vitamin D = 0.016 mg, Vitamin E = 0.2 mg, Vitamin K = 0.056 mg. Mineral content per 100g: Calcium = 222.5 mg, Copper = 0.026 mg, Iron = 0.024 mg, Magnesium = 8.3 mg, Manganese = 0.062 mg, Phosphorus = 143.5 mg, Potassium = 18.0 mg, Selenium = 0.031 mg, and Zinc = 1.1 mg. The overall nutrition density score is 237.396. "
goat cheese hard,"Goat cheese hard provides 128 kcal per 100 grams. It contains 10.1 g of total fat (7.0 g saturated, 2.3 g monounsaturated, and 0.2 g polyunsaturated), 0.6 g of carbohydrates with 0.6 g of sugars, 8.6 g of protein, and 0.0 g of dietary fiber. It has 29.7 mg of cholesterol, 0.076 g of sodium, and 8.2 g of water. Vitamin content per 100g: A = 0.1 mg, B1 (Thiamine) = 0.071 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 0.7 mg, B5 (Pantothenic Acid) = 0.1 mg, B6 = 0.007 mg, B11 (Folic Acid) = 0.035 mg, B12 = 0.093 mg, Vitamin C = 0.0 mg, Vitamin D = 0.044 mg, Vitamin E = 0.083 mg, Vitamin K = 0.039 mg. Mineral content per 100g: Calcium = 253.3 mg, Copper = 0.2 mg, Iron = 0.5 mg, Magnesium = 15.3 mg, Manganese = 0.088 mg, Phosphorus = 206.3 mg, Potassium = 13.6 mg, Selenium = 0.082 mg, and Zinc = 0.4 mg. The overall nutrition density score is 273.2. "
gouda cheese,"Gouda cheese provides 100 kcal per 100 grams. It contains 7.7 g of total fat (4.9 g saturated, 2.2 g monounsaturated, and 0.2 g polyunsaturated), 0.6 g of carbohydrates with 0.6 g of sugars, 7.0 g of protein, and 0.0 g of dietary fiber. It has 31.9 mg of cholesterol, 0.2 g of sodium, and 11.6 g of water. Vitamin content per 100g: A = 0.053 mg, B1 (Thiamine) = 0.016 mg, B2 (Riboflavin) = 0.009 mg, B3 (Niacin) = 0.081 mg, B5 (Pantothenic Acid) = 0.011 mg, B6 = 0.053 mg, B11 (Folic Acid) = 0.042 mg, B12 = 0.01 mg, Vitamin C = 0.0 mg, Vitamin D = 0.04 mg, Vitamin E = 0.026 mg, Vitamin K = 0.074 mg. Mineral content per 100g: Calcium = 196.0 mg, Copper = 0.013 mg, Iron = 0.06 mg, Magnesium = 8.1 mg, Manganese = 0.08 mg, Phosphorus = 152.9 mg, Potassium = 33.9 mg, Selenium = 0.05 mg, and Zinc = 1.1 mg. The overall nutrition density score is 211.424. "
pepper jack cheese lucerne,"Pepper jack cheese lucerne provides 75 kcal per 100 grams. It contains 6.0 g of total fat (4.0 g saturated, 0.0 g monounsaturated, and 0.0 g polyunsaturated), 0.0 g of carbohydrates with 0.0 g of sugars, 5.0 g of protein, and 2.5 g of dietary fiber. It has 0.0 mg of cholesterol, 0.0 g of sodium, and 0.0 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.0 mg, B2 (Riboflavin) = 0.0 mg, B3 (Niacin) = 0.0 mg, B5 (Pantothenic Acid) = 0.0 mg, B6 = 0.0 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.0 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 0.0 mg, Copper = 0.0 mg, Iron = 0.0 mg, Magnesium = 0.0 mg, Manganese = 0.0 mg, Phosphorus = 0.0 mg, Potassium = 0.0 mg, Selenium = 0.0 mg, and Zinc = 0.0 mg. The overall nutrition density score is 13.5. "
caraway cheese,"Caraway cheese provides 106 kcal per 100 grams. It contains 8.3 g of total fat (5.3 g saturated, 2.3 g monounsaturated, and 0.2 g polyunsaturated), 0.9 g of carbohydrates with 0.0 g of sugars, 7.1 g of protein, and 0.0 g of dietary fiber. It has 26.3 mg of cholesterol, 0.2 g of sodium, and 11.1 g of water. Vitamin content per 100g: A = 0.014 mg, B1 (Thiamine) = 0.077 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 0.04 mg, B5 (Pantothenic Acid) = 0.022 mg, B6 = 0.086 mg, B11 (Folic Acid) = 0.066 mg, B12 = 0.038 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 190.5 mg, Copper = 0.007 mg, Iron = 0.2 mg, Magnesium = 6.2 mg, Manganese = 0.002 mg, Phosphorus = 138.7 mg, Potassium = 26.3 mg, Selenium = 0.009 mg, and Zinc = 0.8 mg. The overall nutrition density score is 207.072. "
gjetost cheese,"Gjetost cheese provides 1058 kcal per 100 grams. It contains 67.0 g of total fat (43.5 g saturated, 17.9 g monounsaturated, and 2.1 g polyunsaturated), 96.8 g of carbohydrates with 0.0 g of sugars, 21.9 g of protein, and 0.0 g of dietary fiber. It has 213.4 mg of cholesterol, 1.4 g of sodium, and 30.5 g of water. Vitamin content per 100g: A = 0.8 mg, B1 (Thiamine) = 0.7 mg, B2 (Riboflavin) = 3.1 mg, B3 (Niacin) = 1.8 mg, B5 (Pantothenic Acid) = 7.6 mg, B6 = 0.6 mg, B11 (Folic Acid) = 0.076 mg, B12 = 0.047 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 908.0 mg, Copper = 0.2 mg, Iron = 1.2 mg, Magnesium = 158.9 mg, Manganese = 0.035 mg, Phosphorus = 1007.9 mg, Potassium = 3198.4 mg, Selenium = 0.039 mg, and Zinc = 2.6 mg. The overall nutrition density score is 1095.7. "
tilsit cheese,"Tilsit cheese provides 136 kcal per 100 grams. It contains 10.4 g of total fat (6.7 g saturated, 2.9 g monounsaturated, and 0.3 g polyunsaturated), 0.8 g of carbohydrates with 0.0 g of sugars, 9.8 g of protein, and 0.0 g of dietary fiber. It has 40.8 mg of cholesterol, 0.3 g of sodium, and 17.1 g of water. Vitamin content per 100g: A = 0.057 mg, B1 (Thiamine) = 0.036 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 0.068 mg, B5 (Pantothenic Acid) = 0.1 mg, B6 = 0.036 mg, B11 (Folic Acid) = 0.072 mg, B12 = 0.058 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 280.0 mg, Copper = 0.033 mg, Iron = 0.01 mg, Magnesium = 5.2 mg, Manganese = 0.086 mg, Phosphorus = 200.0 mg, Potassium = 26.0 mg, Selenium = 0.026 mg, and Zinc = 1.4 mg. The overall nutrition density score is 301.069. "
goat cheese,"Goat cheese provides 103 kcal per 100 grams. It contains 8.4 g of total fat (5.8 g saturated, 1.9 g monounsaturated, and 0.2 g polyunsaturated), 0.009 g of carbohydrates with 0.031 g of sugars, 6.1 g of protein, and 0.0 g of dietary fiber. It has 22.4 mg of cholesterol, 0.1 g of sodium, and 12.9 g of water. Vitamin content per 100g: A = 0.1 mg, B1 (Thiamine) = 0.013 mg, B2 (Riboflavin) = 0.2 mg, B3 (Niacin) = 0.3 mg, B5 (Pantothenic Acid) = 0.03 mg, B6 = 0.087 mg, B11 (Folic Acid) = 0.011 mg, B12 = 0.086 mg, Vitamin C = 0.0 mg, Vitamin D = 0.078 mg, Vitamin E = 0.082 mg, Vitamin K = 0.046 mg. Mineral content per 100g: Calcium = 84.3 mg, Copper = 0.2 mg, Iron = 0.5 mg, Magnesium = 8.2 mg, Manganese = 0.008 mg, Phosphorus = 106.1 mg, Potassium = 44.7 mg, Selenium = 0.005 mg, and Zinc = 0.2 mg. The overall nutrition density score is 99.494. "
brick cheese,"Brick cheese provides 111 kcal per 100 grams. It contains 8.9 g of total fat (5.6 g saturated, 2.6 g monounsaturated, and 0.2 g polyunsaturated), 0.8 g of carbohydrates with 0.2 g of sugars, 7.0 g of protein, and 0.0 g of dietary fiber. It has 28.2 mg of cholesterol, 0.2 g of sodium, and 12.3 g of water. Vitamin content per 100g: A = 0.016 mg, B1 (Thiamine) = 0.042 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 0.085 mg, B5 (Pantothenic Acid) = 0.086 mg, B6 = 0.033 mg, B11 (Folic Acid) = 0.059 mg, B12 = 0.074 mg, Vitamin C = 0.0 mg, Vitamin D = 0.042 mg, Vitamin E = 0.072 mg, Vitamin K = 0.064 mg. Mineral content per 100g: Calcium = 202.2 mg, Copper = 0.093 mg, Iron = 0.1 mg, Magnesium = 7.2 mg, Manganese = 0.085 mg, Phosphorus = 135.3 mg, Potassium = 40.8 mg, Selenium = 0.056 mg, and Zinc = 0.8 mg. The overall nutrition density score is 219.002. "
asadero cheese,"Asadero cheese provides 402 kcal per 100 grams. It contains 31.9 g of total fat (20.3 g saturated, 9.1 g monounsaturated, and 1.0 g polyunsaturated), 3.2 g of carbohydrates with 3.2 g of sugars, 25.5 g of protein, and 0.0 g of dietary fiber. It has 118.7 mg of cholesterol, 0.7 g of sodium, and 47.6 g of water. Vitamin content per 100g: A = 0.098 mg, B1 (Thiamine) = 0.034 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 0.2 mg, B5 (Pantothenic Acid) = 0.3 mg, B6 = 0.024 mg, B11 (Folic Acid) = 0.005 mg, B12 = 0.043 mg, Vitamin C = 0.0 mg, Vitamin D = 0.071 mg, Vitamin E = 0.3 mg, Vitamin K = 0.02 mg. Mineral content per 100g: Calcium = 746.9 mg, Copper = 0.067 mg, Iron = 0.6 mg, Magnesium = 29.4 mg, Manganese = 0.024 mg, Phosphorus = 500.6 mg, Potassium = 97.2 mg, Selenium = 0.096 mg, and Zinc = 3.4 mg. The overall nutrition density score is 808.175. "
camembert cheese,"Camembert cheese provides 90 kcal per 100 grams. It contains 7.3 g of total fat (4.6 g saturated, 2.1 g monounsaturated, and 0.2 g polyunsaturated), 0.1 g of carbohydrates with 0.1 g of sugars, 5.9 g of protein, and 0.0 g of dietary fiber. It has 21.6 mg of cholesterol, 0.3 g of sodium, and 15.5 g of water. Vitamin content per 100g: A = 0.091 mg, B1 (Thiamine) = 0.054 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 0.2 mg, B5 (Pantothenic Acid) = 0.4 mg, B6 = 0.017 mg, B11 (Folic Acid) = 0.043 mg, B12 = 0.034 mg, Vitamin C = 0.0 mg, Vitamin D = 0.093 mg, Vitamin E = 0.014 mg, Vitamin K = 0.024 mg. Mineral content per 100g: Calcium = 116.4 mg, Copper = 0.046 mg, Iron = 0.063 mg, Magnesium = 6.0 mg, Manganese = 0.075 mg, Phosphorus = 104.1 mg, Potassium = 56.1 mg, Selenium = 0.035 mg, and Zinc = 0.7 mg. The overall nutrition density score is 129.826. "
provolone cheese reduced fat,"Provolone cheese reduced fat provides 310 kcal per 100 grams. It contains 19.9 g of total fat (12.8 g saturated, 5.5 g monounsaturated, and 0.6 g polyunsaturated), 4.0 g of carbohydrates with 0.6 g of sugars, 27.9 g of protein, and 0.0 g of dietary fiber. It has 62.2 mg of cholesterol, 1.0 g of sodium, and 57.2 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.05 mg, B2 (Riboflavin) = 0.4 mg, B3 (Niacin) = 0.2 mg, B5 (Pantothenic Acid) = 0.5 mg, B6 = 0.061 mg, B11 (Folic Acid) = 0.063 mg, B12 = 0.079 mg, Vitamin C = 0.0 mg, Vitamin D = 0.027 mg, Vitamin E = 0.2 mg, Vitamin K = 0.076 mg. Mineral content per 100g: Calcium = 854.3 mg, Copper = 0.077 mg, Iron = 0.6 mg, Magnesium = 31.6 mg, Manganese = 0.096 mg, Phosphorus = 560.5 mg, Potassium = 155.9 mg, Selenium = 0.054 mg, and Zinc = 3.6 mg. The overall nutrition density score is 906.9. "
roquefort cheese,"Roquefort cheese provides 314 kcal per 100 grams. It contains 26.0 g of total fat (16.4 g saturated, 7.2 g monounsaturated, and 1.1 g polyunsaturated), 1.7 g of carbohydrates with 0.0 g of sugars, 18.3 g of protein, and 0.0 g of dietary fiber. It has 76.5 mg of cholesterol, 1.5 g of sodium, and 33.5 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.092 mg, B2 (Riboflavin) = 0.5 mg, B3 (Niacin) = 0.6 mg, B5 (Pantothenic Acid) = 1.5 mg, B6 = 0.1 mg, B11 (Folic Acid) = 0.037 mg, B12 = 0.002 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 562.7 mg, Copper = 0.005 mg, Iron = 0.5 mg, Magnesium = 25.5 mg, Manganese = 0.036 mg, Phosphorus = 333.2 mg, Potassium = 77.4 mg, Selenium = 0.081 mg, and Zinc = 1.8 mg. The overall nutrition density score is 609.4. "
queso blanco cheese,"Queso blanco cheese provides 366 kcal per 100 grams. It contains 28.7 g of total fat (16.1 g saturated, 7.6 g monounsaturated, and 1.4 g polyunsaturated), 3.0 g of carbohydrates with 2.1 g of sugars, 24.0 g of protein, and 0.0 g of dietary fiber. It has 82.6 mg of cholesterol, 0.8 g of sodium, and 57.5 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.097 mg, B2 (Riboflavin) = 0.3 mg, B3 (Niacin) = 0.038 mg, B5 (Pantothenic Acid) = 0.5 mg, B6 = 0.1 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.022 mg, Vitamin C = 0.0 mg, Vitamin D = 0.05 mg, Vitamin E = 0.6 mg, Vitamin K = 0.061 mg. Mineral content per 100g: Calcium = 814.2 mg, Copper = 0.098 mg, Iron = 0.2 mg, Magnesium = 34.2 mg, Manganese = 0.067 mg, Phosphorus = 551.1 mg, Potassium = 148.7 mg, Selenium = 0.016 mg, and Zinc = 3.6 mg. The overall nutrition density score is 870.3. "
